Embedding Method,Supporting documents retrieved,Query Type,LLM,Predicted Severity Type,Count
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,deepseek-r1,,193
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,o3-mini,correct,87
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,o3-mini,less severe,38
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,o3-mini,more severe,60
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,o3-mini,,7
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-1.5b,correct,13
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-1.5b,less severe,3
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-1.5b,more severe,29
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-1.5b,,148
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-32b,correct,80
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-32b,less severe,39
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-32b,more severe,74
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,qwen2.5-32b,,0
sentence-transformers/all-mpnet-base-v2,10,vague,o3-mini,correct,83
sentence-transformers/all-mpnet-base-v2,10,vague,o3-mini,less severe,65
sentence-transformers/all-mpnet-base-v2,10,vague,o3-mini,more severe,70
sentence-transformers/all-mpnet-base-v2,10,vague,o3-mini,,19
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-1.5b,correct,22
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-1.5b,less severe,4
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-1.5b,more severe,41
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-1.5b,,171
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-32b,correct,82
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-32b,less severe,83
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-32b,more severe,69
sentence-transformers/all-mpnet-base-v2,10,vague,qwen2.5-32b,,4
sentence-transformers/all-mpnet-base-v2,30,vague,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,vague,deepseek-r1,less severe,0
sentence-transformers/all-mpnet-base-v2,30,vague,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,vague,deepseek-r1,,238
sentence-transformers/all-mpnet-base-v2,30,vague,o3-mini,correct,92
sentence-transformers/all-mpnet-base-v2,30,vague,o3-mini,less severe,73
sentence-transformers/all-mpnet-base-v2,30,vague,o3-mini,more severe,72
sentence-transformers/all-mpnet-base-v2,30,vague,o3-mini,,1
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-1.5b,correct,8
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-1.5b,less severe,0
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-1.5b,more severe,30
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-1.5b,,200
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-32b,correct,84
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-32b,less severe,80
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-32b,more severe,73
sentence-transformers/all-mpnet-base-v2,30,vague,qwen2.5-32b,,1
