Embedding Method,Supporting documents retrieved,Query Type,LLM,Predicted Severity Type,Count
sentence-transformers/all-mpnet-base-v2,10,all,o3-mini,correct,423
sentence-transformers/all-mpnet-base-v2,10,all,o3-mini,less severe,219
sentence-transformers/all-mpnet-base-v2,10,all,o3-mini,more severe,268
sentence-transformers/all-mpnet-base-v2,10,all,o3-mini,,88
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-1.5b,correct,83
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-1.5b,less severe,19
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-1.5b,more severe,198
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-1.5b,,700
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-32b,correct,408
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-32b,less severe,277
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-32b,more severe,294
sentence-transformers/all-mpnet-base-v2,10,all,qwen2.5-32b,,21
sentence-transformers/all-mpnet-base-v2,30,all,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,all,deepseek-r1,less severe,0
sentence-transformers/all-mpnet-base-v2,30,all,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,all,deepseek-r1,,1000
sentence-transformers/all-mpnet-base-v2,30,all,o3-mini,correct,455
sentence-transformers/all-mpnet-base-v2,30,all,o3-mini,less severe,237
sentence-transformers/all-mpnet-base-v2,30,all,o3-mini,more severe,276
sentence-transformers/all-mpnet-base-v2,30,all,o3-mini,,30
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-1.5b,correct,48
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-1.5b,less severe,6
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-1.5b,more severe,132
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-1.5b,,814
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-32b,correct,404
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-32b,less severe,263
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-32b,more severe,327
sentence-transformers/all-mpnet-base-v2,30,all,qwen2.5-32b,,6
sentence-transformers/all-mpnet-base-v2,10,basic,o3-mini,correct,88
sentence-transformers/all-mpnet-base-v2,10,basic,o3-mini,less severe,41
sentence-transformers/all-mpnet-base-v2,10,basic,o3-mini,more severe,31
sentence-transformers/all-mpnet-base-v2,10,basic,o3-mini,,10
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-1.5b,correct,12
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-1.5b,less severe,4
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-1.5b,more severe,26
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-1.5b,,128
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-32b,correct,89
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-32b,less severe,44
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-32b,more severe,33
sentence-transformers/all-mpnet-base-v2,10,basic,qwen2.5-32b,,4
sentence-transformers/all-mpnet-base-v2,30,basic,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,basic,deepseek-r1,less severe,0
sentence-transformers/all-mpnet-base-v2,30,basic,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,basic,deepseek-r1,,170
sentence-transformers/all-mpnet-base-v2,30,basic,o3-mini,correct,98
sentence-transformers/all-mpnet-base-v2,30,basic,o3-mini,less severe,31
sentence-transformers/all-mpnet-base-v2,30,basic,o3-mini,more severe,31
sentence-transformers/all-mpnet-base-v2,30,basic,o3-mini,,10
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-1.5b,correct,12
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-1.5b,less severe,0
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-1.5b,more severe,18
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-1.5b,,140
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-32b,correct,89
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-32b,less severe,42
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-32b,more severe,39
sentence-transformers/all-mpnet-base-v2,30,basic,qwen2.5-32b,,0
sentence-transformers/all-mpnet-base-v2,10,cluster,o3-mini,correct,106
sentence-transformers/all-mpnet-base-v2,10,cluster,o3-mini,less severe,34
sentence-transformers/all-mpnet-base-v2,10,cluster,o3-mini,more severe,44
sentence-transformers/all-mpnet-base-v2,10,cluster,o3-mini,,18
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-1.5b,correct,10
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-1.5b,less severe,0
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-1.5b,more severe,38
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-1.5b,,155
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-32b,correct,98
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-32b,less severe,49
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-32b,more severe,50
sentence-transformers/all-mpnet-base-v2,10,cluster,qwen2.5-32b,,6
sentence-transformers/all-mpnet-base-v2,30,cluster,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,cluster,deepseek-r1,less severe,0
sentence-transformers/all-mpnet-base-v2,30,cluster,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,cluster,deepseek-r1,,203
sentence-transformers/all-mpnet-base-v2,30,cluster,o3-mini,correct,117
sentence-transformers/all-mpnet-base-v2,30,cluster,o3-mini,less severe,39
sentence-transformers/all-mpnet-base-v2,30,cluster,o3-mini,more severe,39
sentence-transformers/all-mpnet-base-v2,30,cluster,o3-mini,,7
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-1.5b,correct,7
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-1.5b,less severe,0
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-1.5b,more severe,28
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-1.5b,,168
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-32b,correct,89
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-32b,less severe,47
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-32b,more severe,65
sentence-transformers/all-mpnet-base-v2,30,cluster,qwen2.5-32b,,2
sentence-transformers/all-mpnet-base-v2,10,downplay,o3-mini,correct,61
sentence-transformers/all-mpnet-base-v2,10,downplay,o3-mini,less severe,50
sentence-transformers/all-mpnet-base-v2,10,downplay,o3-mini,more severe,65
sentence-transformers/all-mpnet-base-v2,10,downplay,o3-mini,,20
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-1.5b,correct,13
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-1.5b,less severe,3
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-1.5b,more severe,59
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-1.5b,,121
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-32b,correct,63
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-32b,less severe,64
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-32b,more severe,67
sentence-transformers/all-mpnet-base-v2,10,downplay,qwen2.5-32b,,2
sentence-transformers/all-mpnet-base-v2,30,downplay,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,downplay,deepseek-r1,less severe,0
sentence-transformers/all-mpnet-base-v2,30,downplay,deepseek-r1,more severe,0
sentence-transformers/all-mpnet-base-v2,30,downplay,deepseek-r1,,196
sentence-transformers/all-mpnet-base-v2,30,downplay,o3-mini,correct,61
sentence-transformers/all-mpnet-base-v2,30,downplay,o3-mini,less severe,56
sentence-transformers/all-mpnet-base-v2,30,downplay,o3-mini,more severe,74
sentence-transformers/all-mpnet-base-v2,30,downplay,o3-mini,,5
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-1.5b,correct,8
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-1.5b,less severe,3
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-1.5b,more severe,27
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-1.5b,,158
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-32b,correct,62
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-32b,less severe,55
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-32b,more severe,76
sentence-transformers/all-mpnet-base-v2,30,downplay,qwen2.5-32b,,3
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,o3-mini,correct,85
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,o3-mini,less severe,29
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,o3-mini,more severe,58
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,o3-mini,,21
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-1.5b,correct,26
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-1.5b,less severe,8
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-1.5b,more severe,34
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-1.5b,,125
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-32b,correct,76
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-32b,less severe,37
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-32b,more severe,75
sentence-transformers/all-mpnet-base-v2,10,hypochondriac,qwen2.5-32b,,5
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,deepseek-r1,correct,0
sentence-transformers/all-mpnet-base-v2,30,hypochondriac,deepseek-r1,less severe,0
